engine,length,repeat,phase,ttft_ms,e2e_ms,cache_source,cached_tokens,matches_cold_output,text,load_bytes,ssd_read_bytes,load_task_ms,ssd_prefetch_ms,save_bytes,save_task_ms,ssd_write_bytes,ssd_write_operations,ssd_write_operation_sum_ms,ssd_read_failures,ssd_write_failures,evicted_dram_bytes
vllm,1024,0,cold,118.62204223871231,209.32850986719131,miss,0,True,.  and.  and.  and.  and.  and.,0,0,0,0,150994944.0,3.8185250000000006,150994944.0,16.0,80.69418299999998,0,0,0
vllm,1024,0,hbm_hit,20.406894385814667,110.86612939834595,mixed,1023,True,.  and.  and.  and.  and.  and.,9437184.0,0,0.369301,0,0,0,0,0,0,0,0,0
vllm,1024,0,after_pressure,23.825883865356445,114.3246628344059,external,1023,True,.  and.  and.  and.  and.  and.,150994944.0,0,4.6619,0,0,0,0,0,0,0,0,0
vllm,1024,0,after_host_eviction,48.07217791676521,138.589009642601,external,1023,True,.  and.  and.  and.  and.  and.,150994944.0,150994944.0,4.647316000000001,25.009449999999998,0,0,0,0,0,0,0,7662993408
vllm,1024,1,cold,118.8265047967434,209.11645889282227,miss,0,True,.  and.  and.  and.  and.  and.,0,0,0,0,150994944.0,3.755778999999987,150994944.0,16.0,83.61281699999967,0,0,0
vllm,1024,1,hbm_hit,19.514959305524826,109.84763875603676,mixed,1023,True,.  and.  and.  and.  and.  and.,9437184.0,0,0.3324220000000006,0,0,0,0,0,0,0,0,0
vllm,1024,1,after_pressure,23.794103413820267,113.98664489388466,external,1023,True,.  and.  and.  and.  and.  and.,150994944.0,0,4.671092999999999,0,0,0,0,0,0,0,0,0
vllm,1024,1,after_host_eviction,54.2149692773819,144.67298984527588,external,1023,True,.  and.  and.  and.  and.  and.,150994944.0,150994944.0,4.640040000000002,31.122071000000005,0,0,0,0,0,0,0,7549747200
vllm,1024,2,cold,118.56719851493835,209.16195958852768,miss,0,True,.  A researcher.  A researcher.  A researcher.  A researcher,0,0,0,0,150994944.0,3.7815370000000015,150994944.0,16.0,82.51304200000042,0,0,0
vllm,1024,2,hbm_hit,19.71065253019333,110.01551896333694,mixed,1023,True,.  A researcher.  A researcher.  A researcher.  A researcher,9437184.0,0,0.3326820000000008,0,0,0,0,0,0,0,0,0
vllm,1024,2,after_pressure,23.338064551353455,114.0664853155613,external,1023,True,.  A researcher.  A researcher.  A researcher.  A researcher,150994944.0,0,4.649957,0,0,0,0,0,0,0,0,0
vllm,1024,2,after_host_eviction,55.24173378944397,145.5877684056759,external,1023,True,.  A researcher.  A researcher.  A researcher.  A researcher,150994944.0,150994944.0,4.656612000000001,31.158901000000004,0,0,0,0,0,0,0,7549747200
vllm,1024,3,cold,118.79417672753334,209.36257764697075,miss,0,True,. and. and. and. and. and. and. and. and,0,0,0,0,150994944.0,4.013980999999944,150994944.0,16.0,75.97784000000019,0,0,0
vllm,1024,3,hbm_hit,19.821099936962128,110.25836691260338,mixed,1023,True,. and. and. and. and. and. and. and. and,9437184.0,0,0.3354760000000012,0,0,0,0,0,0,0,0,0
vllm,1024,3,after_pressure,23.677773773670197,114.07520994544029,external,1023,True,. and. and. and. and. and. and. and. and,150994944.0,0,4.5475369999999975,0,0,0,0,0,0,0,0,0
vllm,1024,3,after_host_eviction,59.149712324142456,149.56700801849365,external,1023,True,. and. and. and. and. and. and. and. and,150994944.0,150994944.0,4.654763999999998,35.01681100000001,0,0,0,0,0,0,0,7549747200
vllm,1024,4,cold,118.69797110557556,209.42725613713264,miss,0,True,.  A.  A.  A.  A.  A.,0,0,0,0,150994944.0,3.982622999999963,150994944.0,16.0,89.9787279999984,0,0,0
vllm,1024,4,hbm_hit,19.651491194963455,109.99205708503723,mixed,1023,True,.  A.  A.  A.  A.  A.,9437184.0,0,0.34398499999999804,0,0,0,0,0,0,0,0,0
